Sample,V1,V2,V3,V4,V5,V6
86,52.41491151,0.354718603,127.7523445,13.54194125,-47.11570475,-14.39514519
87,58.5040063,9.259246489,310.8629227,-16.43202664,-32.52490554,-3.000503366
88,-216.1859613,-11.37902033,36.24379501,12.01784463,-231.8557461,-18.15713434
89,3.862667475,14.36766669,452.0761922,8.531717581,-65.89285218,2.772053047
90,116.7296975,3.193735552,-65.78763635,-11.9664875,-3.323958708,9.010311663
91,-49.05411893,-7.103337407,155.2796511,10.90211656,-111.2840177,0.928502324
92,52.24225086,2.944782771,41.24931949,-2.957411986,-31.74095834,16.54188673
93,26.82656466,-9.415886147,89.39993079,-1.883501035,-42.93455146,5.936857139
94,209.7359062,-2.02321652,138.4626133,-7.457135846,86.12669955,5.395030984
95,87.11846529,-4.195419286,82.29998736,-14.06330828,-26.30874238,-8.329492053
96,11.91702652,-9.697170394,5.503836513,-30.48500241,-53.30942589,1.521212903
97,-196.0135301,-9.958278965,152.9730728,-2.962706756,-208.3279475,16.63759141
98,238.166506,8.366997311,250.6832583,16.36383464,67.82432118,3.656142403
99,276.4060765,-0.763089344,201.009677,2.978209398,130.9414716,2.339749685
100,35.90262301,5.924822858,-78.5923725,-0.085862185,-45.78488604,-22.59126312
